Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00000490_724,promutation,-5.57,-0.4,2019.04.24 13:09:45,Autodock 4.2
ZINC00000558_721,promutation,-6.04,-0.09,2019.04.24 13:09:56,Autodock 4.2
ZINC00000566_720,promutation,-7.5,-0.46,2019.04.24 13:10:12,Autodock 4.2
ZINC00001084_702,promutation,-5.12,0.0,2019.04.24 13:10:17,Autodock 4.2
ZINC00001219_695,promutation,-7.44,0.05,2019.04.24 13:10:23,Autodock 4.2
ZINC00001411_435,promutation,-5.72,-0.22,2019.04.24 13:10:27,Autodock 4.2
ZINC00001411_436,promutation,-6.1,-0.23,2019.04.24 13:10:31,Autodock 4.2
ZINC00001411_643,promutation,-5.5,-0.31,2019.04.24 13:10:35,Autodock 4.2
ZINC00001601_675,promutation,-5.18,-0.13,2019.04.24 13:10:40,Autodock 4.2
ZINC00001785_664,promutation,-7.51,-0.21,2019.04.24 13:10:50,Autodock 4.2
ZINC00001798_662,promutation,-5.98,0.02,2019.04.24 13:10:54,Autodock 4.2
ZINC00001906_652,promutation,-6.1,-0.03,2019.04.24 13:10:59,Autodock 4.2
ZINC00002067_645,promutation,-6.85,-0.22,2019.04.24 13:11:03,Autodock 4.2
ZINC00002151_637,promutation,-4.81,0.0,2019.04.24 13:11:08,Autodock 4.2
ZINC00004046_1785,promutation,82.63,5.15,2019.04.24 13:11:13,Autodock 4.2
ZINC00006787_737,promutation,-6.76,-0.23,2019.04.24 13:11:17,Autodock 4.2
ZINC00025159_1786,promutation,116.44,1.87,2019.04.24 13:11:21,Autodock 4.2
ZINC00033299_606,promutation,-7.02,0.0,2019.04.24 13:11:26,Autodock 4.2
ZINC00039811_41,promutation,-7.12,-0.06,2019.04.24 13:11:30,Autodock 4.2
ZINC00044851_535,promutation,183.95,8.27,2019.04.24 13:11:35,Autodock 4.2
ZINC00044853_523,promutation,230.49,-0.19,2019.04.24 13:11:39,Autodock 4.2
ZINC00051923_1171,promutation,-4.73,-0.2,2019.04.24 13:11:43,Autodock 4.2
ZINC00056555_461,promutation,-5.81,-0.65,2019.04.24 13:11:48,Autodock 4.2
ZINC00051924_1161,promutation,-5.52,-0.19,2019.04.24 13:11:53,Autodock 4.2
ZINC00057674_439,promutation,-6.69,-0.25,2019.04.24 13:11:58,Autodock 4.2
ZINC00066023_1869,promutation,-1.24,-0.05,2019.04.24 13:12:02,Autodock 4.2
ZINC00073700_629,promutation,-7.18,0.0,2019.04.24 13:14:13,Autodock 4.2
ZINC00120273_646,promutation,-7.44,-0.26,2019.04.24 13:14:19,Autodock 4.2
ZINC00120283_644,promutation,-7.57,0.0,2019.04.24 13:14:23,Autodock 4.2
ZINC00134601_1542,promutation,-3.3,0.41,2019.04.24 13:14:27,Autodock 4.2
ZINC00135449_2658,promutation,269.04,1.29,2019.04.24 13:14:32,Autodock 4.2
ZINC00135453_2654,promutation,295.76,0.58,2019.04.24 13:14:36,Autodock 4.2
ZINC00149577_457,promutation,-3.03,-0.19,2019.04.24 13:15:14,Autodock 4.2
ZINC00155371_490,promutation,6.19,-0.19,2019.04.24 13:15:19,Autodock 4.2
ZINC00155456_723,promutation,-0.64,1.43,2019.04.24 13:15:23,Autodock 4.2
ZINC00156055_485,promutation,-6.52,-0.22,2019.04.24 13:15:27,Autodock 4.2
ZINC00156701_640,promutation,-7.64,-0.22,2019.04.24 13:15:32,Autodock 4.2
ZINC00157077_36,promutation,-5.43,-0.15,2019.04.24 13:15:39,Autodock 4.2
ZINC00157077_633,promutation,-5.83,-0.22,2019.04.24 13:15:43,Autodock 4.2
ZINC00166877_1089,promutation,-3.4,-0.02,2019.04.24 13:15:47,Autodock 4.2
ZINC00296185_473,promutation,-7.35,-0.19,2019.04.24 13:15:52,Autodock 4.2
ZINC00314951_187,promutation,-6.79,0.08,2019.04.24 13:15:56,Autodock 4.2
ZINC00338122_87,promutation,-7.31,-0.27,2019.04.24 13:16:00,Autodock 4.2
ZINC00388198_27,promutation,-5.7,-0.15,2019.04.24 13:16:05,Autodock 4.2
ZINC00391122_15,promutation,-5.97,-0.26,2019.04.24 13:16:09,Autodock 4.2
ZINC00391156_1434,promutation,-5.35,-0.97,2019.04.24 13:16:14,Autodock 4.2
ZINC00391191_1305,promutation,-4.41,-0.25,2019.04.24 13:18:53,Autodock 4.2
ZINC00391192_1264,promutation,-4.71,-0.14,2019.04.24 13:18:57,Autodock 4.2
ZINC00391550_895,promutation,-3.65,0.07,2019.04.24 13:19:04,Autodock 4.2
ZINC00391812_178,promutation,-5.28,0.33,2019.04.24 13:19:10,Autodock 4.2
