Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00001411_563,promutation,-5.77,-0.32,2019.04.24 14:04:02,Autodock 4.2
ZINC00001785_808,promutation,-7.63,-0.21,2019.04.24 14:04:10,Autodock 4.2
ZINC00035525_783,promutation,-6.17,-0.17,2019.04.24 14:04:14,Autodock 4.2
ZINC00035526,promutation,-6.66,-0.9,2019.04.24 14:04:18,Autodock 4.2
ZINC00039811_19,promutation,-7.39,-0.06,2019.04.24 14:06:20,Autodock 4.2
ZINC00056792,promutation,-8.25,-1.12,2019.04.24 14:06:26,Autodock 4.2
ZINC00056792_677,promutation,-6.91,-0.36,2019.04.24 14:06:30,Autodock 4.2
ZINC00057384_723,promutation,-7.24,-0.63,2019.04.24 14:06:34,Autodock 4.2
ZINC00057731_666,promutation,-7.37,-0.05,2019.04.24 14:06:39,Autodock 4.2
ZINC00057733_665,promutation,-6.75,-0.41,2019.04.24 14:06:45,Autodock 4.2
ZINC00058188,promutation,-7.1,-0.67,2019.04.24 14:06:49,Autodock 4.2
ZINC00086470_763,promutation,-8.3,-0.45,2019.04.24 14:06:54,Autodock 4.2
ZINC00113319_467,promutation,-6.25,-0.22,2019.04.24 14:07:03,Autodock 4.2
ZINC00113319_594,promutation,-7.02,-0.3,2019.04.24 14:07:07,Autodock 4.2
ZINC00120283_797,promutation,-7.46,0.0,2019.04.24 14:07:12,Autodock 4.2
ZINC00135449,promutation,-7.47,-0.34,2019.04.24 14:07:16,Autodock 4.2
ZINC00135449_744,promutation,-7.43,-0.53,2019.04.24 14:07:22,Autodock 4.2
ZINC00152926_676,promutation,-5.72,-0.47,2019.04.24 14:07:26,Autodock 4.2
ZINC00265517,promutation,-6.48,0.08,2019.04.24 14:07:31,Autodock 4.2
ZINC00607790_630,promutation,-6.87,-0.59,2019.04.24 14:08:55,Autodock 4.2
ZINC00607911,promutation,-6.56,-0.37,2019.04.24 14:10:01,Autodock 4.2
ZINC00607911_639,promutation,-6.75,-0.39,2019.04.24 14:10:05,Autodock 4.2
ZINC00828203_857,promutation,-8.01,-0.52,2019.04.24 14:10:09,Autodock 4.2
ZINC00898052_92,promutation,-7.14,0.0,2019.04.24 14:10:15,Autodock 4.2
ZINC00900182_624,promutation,-6.99,-0.18,2019.04.24 14:10:21,Autodock 4.2
ZINC00900216,promutation,-5.74,-0.25,2019.04.24 14:10:26,Autodock 4.2
ZINC00900237_626,promutation,-7.37,-0.03,2019.04.24 14:10:30,Autodock 4.2
ZINC01529208_585,promutation,-5.31,-0.35,2019.04.24 14:10:44,Autodock 4.2
ZINC01597393_566,promutation,-8.52,-0.54,2019.04.24 14:10:48,Autodock 4.2
ZINC01663392_13,promutation,-7.56,-0.7,2019.04.24 14:12:13,Autodock 4.2
ZINC01663628_436,promutation,-7.21,-1.21,2019.04.24 14:12:17,Autodock 4.2
ZINC01663629_20,promutation,-7.49,-0.35,2019.04.24 14:12:21,Autodock 4.2
ZINC01663630_553,promutation,-7.92,-0.92,2019.04.24 14:12:26,Autodock 4.2
ZINC01663631_18,promutation,-7.62,-0.73,2019.04.24 14:12:30,Autodock 4.2
ZINC01721693_855,promutation,-7.44,-0.2,2019.04.24 14:14:21,Autodock 4.2
ZINC01724917,promutation,-6.66,0.0,2019.04.24 14:14:27,Autodock 4.2
ZINC02030112_703,promutation,-7.45,-0.37,2019.04.24 14:14:32,Autodock 4.2
ZINC02386253_572,promutation,-7.43,-0.26,2019.04.24 14:14:36,Autodock 4.2
ZINC03589229_884,promutation,-7.0,-0.05,2019.04.24 14:14:40,Autodock 4.2
ZINC03871358_643,promutation,-7.6,-0.25,2019.04.24 14:14:45,Autodock 4.2
ZINC03871576,promutation,-7.43,-0.93,2019.04.24 14:14:50,Autodock 4.2
ZINC03871576_751,promutation,-7.32,-0.5,2019.04.24 14:14:55,Autodock 4.2
ZINC04096339_621,promutation,-6.88,-0.11,2019.04.24 14:15:00,Autodock 4.2
ZINC05063215_814,promutation,-6.9,0.02,2019.04.24 14:15:05,Autodock 4.2
ZINC05193911_567,promutation,-4.89,-0.31,2019.04.24 14:19:47,Autodock 4.2
ZINC05357841_644,promutation,-7.93,0.23,2019.04.24 14:19:52,Autodock 4.2
ZINC05765089,promutation,-6.59,-0.86,2019.04.24 14:19:56,Autodock 4.2
ZINC05765089_827,promutation,-6.72,-0.56,2019.04.24 14:20:01,Autodock 4.2
ZINC06018563_823,promutation,-8.06,-0.4,2019.04.24 14:20:07,Autodock 4.2
ZINC06018566_840,promutation,-5.46,-0.36,2019.04.24 14:20:11,Autodock 4.2
ZINC06018688_851,promutation,-6.77,-0.9,2019.04.24 14:20:16,Autodock 4.2
ZINC06404152_689,promutation,-6.01,0.02,2019.04.24 14:20:23,Autodock 4.2
ZINC06484605_657,promutation,-7.42,-0.86,2019.04.24 14:20:27,Autodock 4.2
ZINC06524916_770,promutation,-7.7,0.03,2019.04.24 14:20:32,Autodock 4.2
ZINC11535640_659,promutation,-5.78,-0.12,2019.04.24 14:20:36,Autodock 4.2
ZINC12358789_794,promutation,-5.07,-0.22,2019.04.24 14:21:27,Autodock 4.2
ZINC13232672_593,promutation,-5.74,-0.17,2019.04.24 14:21:32,Autodock 4.2
ZINC13282986_561,promutation,-7.55,-0.12,2019.04.24 14:21:36,Autodock 4.2
ZINC13311972_791,promutation,-7.88,-0.44,2019.04.24 14:21:44,Autodock 4.2
ZINC13327497_595,promutation,-7.08,-0.81,2019.04.24 14:21:53,Autodock 4.2
ZINC13365918_582,promutation,-8.32,-0.06,2019.04.24 14:47:38,Autodock 4.2
ZINC13372804_607,promutation,-7.52,-0.88,2019.04.24 14:47:46,Autodock 4.2
ZINC13411309_724,promutation,-7.27,0.04,2019.04.24 14:48:48,Autodock 4.2
ZINC14417338_583,promutation,-8.18,-0.62,2019.04.24 14:48:54,Autodock 4.2
ZINC14441498_764,promutation,-8.02,-1.17,2019.04.24 14:48:59,Autodock 4.2
ZINC14441500_766,promutation,-7.77,-0.74,2019.04.24 14:49:04,Autodock 4.2
ZINC14441502_767,promutation,-7.63,-1.39,2019.04.24 14:49:08,Autodock 4.2
ZINC14497261_600,promutation,-6.33,-0.33,2019.04.24 14:49:13,Autodock 4.2
ZINC14504006_871,promutation,-7.38,-0.36,2019.04.24 14:49:18,Autodock 4.2
ZINC14506940_776,promutation,-6.37,-0.25,2019.04.24 14:49:30,Autodock 4.2
ZINC14517364_609,promutation,-6.99,-0.17,2019.04.24 14:49:35,Autodock 4.2
ZINC14590768_591,promutation,-6.07,-0.26,2019.04.24 14:49:40,Autodock 4.2
ZINC14611375_709,promutation,-8.03,-0.81,2019.04.24 14:49:45,Autodock 4.2
ZINC14618437_836,promutation,-7.24,-0.58,2019.04.24 14:49:55,Autodock 4.2
