Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00073032_541,promutation,-6.73,-0.36,2019.04.24 15:45:02,Autodock 4.2
ZINC00120126,promutation,-5.83,0.0,2019.04.24 15:45:11,Autodock 4.2
ZINC00120126_561,promutation,-5.85,0.0,2019.04.24 23:34:18,Autodock 4.2
ZINC00120126_579,promutation,-5.33,0.14,2019.04.25 00:14:23,Autodock 4.2
ZINC00142380_31,promutation,-7.1,-0.05,2019.04.25 00:14:28,Autodock 4.2
ZINC00145536_1,promutation,-6.77,-0.25,2019.04.25 00:14:32,Autodock 4.2
ZINC00154564_649,promutation,-6.02,-0.08,2019.04.25 00:14:37,Autodock 4.2
ZINC00155996_621,promutation,-6.89,-0.06,2019.04.25 00:14:41,Autodock 4.2
ZINC00156346_612,promutation,-6.27,-0.03,2019.04.25 00:14:45,Autodock 4.2
ZINC00213065_628,promutation,-6.24,0.04,2019.04.25 00:14:51,Autodock 4.2
ZINC00388556_589,promutation,-6.33,-0.06,2019.04.25 00:14:58,Autodock 4.2
ZINC00393397_556,promutation,-6.86,-0.17,2019.04.25 00:15:03,Autodock 4.2
ZINC00393398_555,promutation,-6.66,0.27,2019.04.25 00:15:08,Autodock 4.2
ZINC00395673_639,promutation,-6.21,-0.11,2019.04.25 00:15:14,Autodock 4.2
ZINC00487423_625,promutation,-6.74,-0.27,2019.04.25 00:15:18,Autodock 4.2
ZINC01644136_647,promutation,-5.77,-0.17,2019.04.25 01:11:11,Autodock 4.2
ZINC02005408_95,promutation,-5.19,0.01,2019.04.25 01:11:16,Autodock 4.2
ZINC02005410_94,promutation,-5.21,0.03,2019.04.25 01:11:20,Autodock 4.2
ZINC02516278_30,promutation,-6.51,-0.58,2019.04.25 01:11:27,Autodock 4.2
ZINC02527947_650,promutation,-7.01,-0.01,2019.04.25 01:11:32,Autodock 4.2
ZINC02561222_27,promutation,-6.27,-0.36,2019.04.25 01:11:38,Autodock 4.2
ZINC03129396_9,promutation,-6.38,0.23,2019.04.25 01:11:42,Autodock 4.2
ZINC03589244_76,promutation,-5.86,-1.11,2019.04.25 01:11:48,Autodock 4.2
ZINC03589248_626,promutation,-7.24,-0.73,2019.04.25 01:11:54,Autodock 4.2
ZINC03869768,promutation,-7.13,-1.22,2019.04.25 01:12:01,Autodock 4.2
ZINC03869768_233,promutation,-7.06,-0.81,2019.04.25 01:12:06,Autodock 4.2
ZINC03958185_55,promutation,-6.26,0.02,2019.04.25 01:12:10,Autodock 4.2
ZINC05167395_659,promutation,-6.51,-0.91,2019.04.25 01:12:14,Autodock 4.2
