Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00000490_724,promutation,-6.02,0.09,2019.04.25 13:15:14,Autodock 4.2
ZINC00000558_721,promutation,-6.33,-0.03,2019.04.25 13:15:21,Autodock 4.2
ZINC00000566_720,promutation,-7.3,-0.41,2019.04.25 13:15:24,Autodock 4.2
ZINC00001084_702,promutation,-5.08,0.0,2019.04.25 13:15:28,Autodock 4.2
ZINC00001219_695,promutation,-7.61,0.05,2019.04.25 14:14:28,Autodock 4.2
ZINC00001411_435,promutation,-5.94,-0.24,2019.04.25 14:14:32,Autodock 4.2
ZINC00001411_436,promutation,-6.24,-0.23,2019.04.25 14:14:36,Autodock 4.2
ZINC00001411_643,promutation,-5.0,-0.31,2019.04.25 14:14:39,Autodock 4.2
ZINC00001601_675,promutation,-4.99,-0.16,2019.04.25 14:14:44,Autodock 4.2
ZINC00001785_664,promutation,-7.42,-0.83,2019.04.25 14:14:47,Autodock 4.2
ZINC00001798_662,promutation,-5.85,-0.1,2019.04.25 14:14:51,Autodock 4.2
ZINC00001906_652,promutation,-5.92,-0.27,2019.04.25 14:14:59,Autodock 4.2
ZINC00002067_645,promutation,-6.8,-0.03,2019.04.25 14:15:05,Autodock 4.2
ZINC00002151_637,promutation,-4.91,0.0,2019.04.25 14:18:58,Autodock 4.2
ZINC00006787_737,promutation,-7.01,-0.22,2019.04.25 14:19:02,Autodock 4.2
ZINC00033299_606,promutation,-7.45,0.0,2019.04.25 14:19:07,Autodock 4.2
ZINC00039811_41,promutation,-7.2,-0.06,2019.04.25 14:19:12,Autodock 4.2
ZINC00056555_461,promutation,-5.83,-0.72,2019.04.25 14:23:13,Autodock 4.2
ZINC00057674_439,promutation,-6.76,-0.25,2019.04.25 14:23:16,Autodock 4.2
ZINC00073700_629,promutation,-7.11,0.0,2019.04.25 14:23:21,Autodock 4.2
ZINC00120273_646,promutation,-7.55,-0.7,2019.04.25 14:23:37,Autodock 4.2
ZINC00120283_644,promutation,-7.47,0.0,2019.04.25 14:23:43,Autodock 4.2
ZINC00156055_485,promutation,-6.64,-0.26,2019.04.25 14:23:47,Autodock 4.2
ZINC00156701_640,promutation,-7.54,-0.23,2019.04.25 14:23:52,Autodock 4.2
ZINC00157077_36,promutation,-6.14,-0.16,2019.04.25 14:23:57,Autodock 4.2
ZINC00157077_633,promutation,-6.23,-0.19,2019.04.25 14:24:01,Autodock 4.2
ZINC00296185_473,promutation,-7.65,-0.49,2019.04.25 14:24:05,Autodock 4.2
ZINC00314951_187,promutation,-6.74,-0.19,2019.04.25 14:27:05,Autodock 4.2
ZINC00338122_87,promutation,-7.37,-0.36,2019.04.25 14:27:09,Autodock 4.2
ZINC00388198_27,promutation,-6.21,-0.12,2019.04.25 14:27:13,Autodock 4.2
ZINC00391122_15,promutation,-6.19,-0.37,2019.04.25 14:27:18,Autodock 4.2
ZINC00391812_178,promutation,-5.41,0.36,2019.04.25 14:27:23,Autodock 4.2
ZINC00517261_28,promutation,-6.37,-1.47,2019.04.25 14:27:28,Autodock 4.2
ZINC00526834_744,promutation,-6.04,-0.3,2019.04.25 14:27:44,Autodock 4.2
ZINC00608233_393,promutation,-7.17,-0.43,2019.04.25 14:27:48,Autodock 4.2
ZINC00621853_391,promutation,-6.41,-0.43,2019.04.25 14:27:53,Autodock 4.2
ZINC00899053_707,promutation,-7.79,-0.74,2019.04.25 14:34:02,Autodock 4.2
ZINC00899093_196,promutation,-7.54,-0.47,2019.04.25 14:34:06,Autodock 4.2
ZINC00899824_561,promutation,-6.5,-0.97,2019.04.25 14:34:11,Autodock 4.2
ZINC00899915_493,promutation,-7.44,-1.07,2019.04.25 14:34:16,Autodock 4.2
ZINC00899931_728,promutation,-7.46,-1.4,2019.04.25 14:34:20,Autodock 4.2
ZINC00900233_388,promutation,-6.12,-0.52,2019.04.25 14:34:25,Autodock 4.2
ZINC00967523_66,promutation,-6.54,-0.18,2019.04.25 14:34:29,Autodock 4.2
