Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00057905_1520,promutation,-7.33,-0.49,2019.04.27 16:28:01,Autodock 4.2
ZINC00096590_2714,promutation,-6.82,-0.57,2019.04.27 16:28:08,Autodock 4.2
ZINC00123356_1660,promutation,-8.17,-0.5,2019.04.27 16:28:20,Autodock 4.2
ZINC00129408_2642,promutation,-6.11,-0.76,2019.04.27 16:28:26,Autodock 4.2
ZINC00129954_2136,promutation,-7.07,-0.57,2019.04.27 16:28:31,Autodock 4.2
ZINC00135854_2005,promutation,-8.16,-0.22,2019.04.27 16:28:50,Autodock 4.2
ZINC00141393_2090,promutation,-6.61,-0.34,2019.04.27 16:28:55,Autodock 4.2
ZINC00141395_2059,promutation,-6.75,-0.4,2019.04.27 16:29:00,Autodock 4.2
ZINC00146873_2571,promutation,-7.67,0.1,2019.04.27 16:29:05,Autodock 4.2
ZINC00154071_2664,promutation,-7.44,-0.02,2019.04.27 16:29:20,Autodock 4.2
ZINC00162392_2445,promutation,-6.53,-0.46,2019.04.27 16:29:26,Autodock 4.2
ZINC00162670_2504,promutation,-8.12,-0.24,2019.04.27 16:29:32,Autodock 4.2
ZINC00188759_2403,promutation,-6.16,-0.43,2019.04.27 16:29:37,Autodock 4.2
ZINC00196207_2359,promutation,-5.66,0.03,2019.04.27 16:29:46,Autodock 4.2
ZINC00199022_2370,promutation,-7.67,-0.43,2019.04.27 16:29:52,Autodock 4.2
ZINC00207010_2333,promutation,-7.23,0.0,2019.04.27 16:29:58,Autodock 4.2
ZINC00207014_2336,promutation,-6.46,-0.19,2019.04.27 16:30:03,Autodock 4.2
ZINC00207040_2357,promutation,-6.45,0.01,2019.04.27 16:30:08,Autodock 4.2
ZINC00210028_1988,promutation,-6.71,-0.25,2019.04.27 16:30:14,Autodock 4.2
ZINC00210029_1899,promutation,-6.3,0.13,2019.04.27 16:30:20,Autodock 4.2
ZINC00225559_1470,promutation,-7.14,-0.13,2019.04.27 16:30:42,Autodock 4.2
ZINC00366813_1963,promutation,-7.12,-0.46,2019.04.27 16:31:06,Autodock 4.2
ZINC00366816_1980,promutation,-8.28,0.14,2019.04.27 16:31:10,Autodock 4.2
ZINC00374875_2628,promutation,-6.51,-0.1,2019.04.27 16:31:15,Autodock 4.2
ZINC00374879_2346,promutation,-5.92,-0.77,2019.04.27 16:31:21,Autodock 4.2
ZINC00391122_2683,promutation,-5.65,-0.21,2019.04.27 16:33:06,Autodock 4.2
ZINC00391161_2665,promutation,-5.7,-0.68,2019.04.27 16:33:12,Autodock 4.2
ZINC00391162_2650,promutation,-5.31,-0.44,2019.04.27 16:33:22,Autodock 4.2
ZINC00391180_2616,promutation,-6.23,-0.06,2019.04.27 16:33:34,Autodock 4.2
ZINC00487632_1929,promutation,-6.67,-1.21,2019.04.27 16:33:39,Autodock 4.2
ZINC00487633_1978,promutation,-6.97,-0.8,2019.04.27 16:33:49,Autodock 4.2
ZINC00487635_2432,promutation,-7.66,-0.43,2019.04.27 16:33:54,Autodock 4.2
ZINC00488235_2477,promutation,-7.11,-0.57,2019.04.27 16:33:59,Autodock 4.2
ZINC00489074_1599,promutation,-6.98,-0.56,2019.04.27 16:34:13,Autodock 4.2
ZINC00489084_2058,promutation,-7.45,0.51,2019.04.27 16:34:17,Autodock 4.2
ZINC00489422_2721,promutation,-8.0,1.49,2019.04.27 16:34:22,Autodock 4.2
ZINC00489423_2684,promutation,-8.13,2.67,2019.04.27 16:34:29,Autodock 4.2
ZINC00489424_2660,promutation,-7.41,8.2,2019.04.27 16:34:40,Autodock 4.2
ZINC00489629_2470,promutation,-7.83,-0.67,2019.04.27 16:34:51,Autodock 4.2
ZINC00489638_2411,promutation,-8.2,-0.48,2019.04.27 16:35:03,Autodock 4.2
ZINC00489639_2384,promutation,-8.37,-0.37,2019.04.27 16:35:34,Autodock 4.2
ZINC00489662_2364,promutation,-6.82,0.12,2019.04.27 16:35:51,Autodock 4.2
