Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00065082_23128,promutation,-6.92,-0.2,2019.04.26 23:06:24,Autodock 4.2
ZINC00075066_21357,promutation,-6.44,-1.31,2019.04.26 23:06:38,Autodock 4.2
ZINC00075070_21321,promutation,-7.1,-1.04,2019.04.26 23:06:42,Autodock 4.2
ZINC00078025_21531,promutation,-6.22,-0.45,2019.04.26 23:06:46,Autodock 4.2
ZINC00078046_21493,promutation,-7.14,-1.02,2019.04.26 23:06:50,Autodock 4.2
ZINC00082738_21401,promutation,-6.39,0.05,2019.04.26 23:06:55,Autodock 4.2
ZINC00082744_21414,promutation,-6.46,-0.78,2019.04.26 23:07:00,Autodock 4.2
ZINC00089367_22848,promutation,-8.46,-0.42,2019.04.26 23:07:05,Autodock 4.2
ZINC00089370_21720,promutation,-7.29,-0.68,2019.04.26 23:07:11,Autodock 4.2
ZINC00093639_21941,promutation,-6.34,-0.28,2019.04.26 23:07:15,Autodock 4.2
ZINC00093654_22539,promutation,-6.61,-0.27,2019.04.26 23:07:22,Autodock 4.2
ZINC00138805_22822,promutation,-7.03,-0.28,2019.04.26 23:07:42,Autodock 4.2
ZINC00138854_21685,promutation,-7.99,-0.29,2019.04.26 23:07:52,Autodock 4.2
ZINC00138856_21674,promutation,-8.45,-0.31,2019.04.26 23:07:58,Autodock 4.2
ZINC00154776_21950,promutation,-8.48,0.0,2019.04.26 23:08:04,Autodock 4.2
ZINC00178229_22515,promutation,-7.18,-0.06,2019.04.26 23:08:12,Autodock 4.2
ZINC00178246_22566,promutation,-7.24,-0.36,2019.04.26 23:08:26,Autodock 4.2
ZINC00192330_21105,promutation,-6.53,-0.18,2019.04.26 23:08:32,Autodock 4.2
ZINC00192334_21116,promutation,-6.67,-0.37,2019.04.26 23:08:36,Autodock 4.2
ZINC00194308_21638,promutation,-8.19,-0.04,2019.04.26 23:08:41,Autodock 4.2
ZINC00195561_22930,promutation,-8.03,-0.69,2019.04.26 23:08:46,Autodock 4.2
ZINC00200896_22052,promutation,-7.33,0.09,2019.04.26 23:08:50,Autodock 4.2
ZINC00200908_21388,promutation,-8.69,-0.02,2019.04.26 23:08:54,Autodock 4.2
ZINC00200916_21329,promutation,-7.71,-0.39,2019.04.26 23:08:58,Autodock 4.2
ZINC00206539_21967,promutation,-7.99,-0.19,2019.04.26 23:09:02,Autodock 4.2
ZINC00206542_21960,promutation,-6.98,-0.23,2019.04.26 23:09:06,Autodock 4.2
ZINC00209066_22530,promutation,-7.44,-0.2,2019.04.26 23:09:12,Autodock 4.2
ZINC00209067_22446,promutation,-8.69,0.2,2019.04.26 23:09:17,Autodock 4.2
ZINC00209068_22548,promutation,-7.05,-0.67,2019.04.26 23:09:22,Autodock 4.2
ZINC00209070_22455,promutation,-7.05,0.48,2019.04.26 23:09:27,Autodock 4.2
ZINC00238447_22500,promutation,-7.59,-0.23,2019.04.26 23:09:31,Autodock 4.2
ZINC00241173_20912,promutation,-7.15,-0.17,2019.04.26 23:09:39,Autodock 4.2
ZINC00267655_22454,promutation,-7.16,-0.14,2019.04.26 23:09:45,Autodock 4.2
ZINC00274906_21723,promutation,-6.63,-0.08,2019.04.26 23:09:51,Autodock 4.2
ZINC00274914_21717,promutation,-6.76,-0.15,2019.04.26 23:09:57,Autodock 4.2
ZINC00281179_21455,promutation,-7.84,-0.53,2019.04.26 23:10:02,Autodock 4.2
ZINC00282254_21669,promutation,-6.15,-0.44,2019.04.26 23:10:21,Autodock 4.2
ZINC00290093_22265,promutation,-6.19,-0.31,2019.04.26 23:10:27,Autodock 4.2
