Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00000733_124,promutation,-6.37,-0.93,2019.04.22 23:17:46,Autodock 4.2
ZINC00001785_102,promutation,-7.55,-0.82,2019.04.22 23:17:52,Autodock 4.2
ZINC00056550_74,promutation,-5.01,-0.4,2019.04.22 23:17:59,Autodock 4.2
ZINC00056981_60,promutation,-6.94,-1.47,2019.04.22 23:18:05,Autodock 4.2
ZINC00058185_57,promutation,-7.91,-0.7,2019.04.22 23:18:10,Autodock 4.2
ZINC00058188,promutation,-7.23,-0.31,2019.04.22 23:18:20,Autodock 4.2
ZINC00156701_101,promutation,-7.69,-0.25,2019.04.22 23:18:37,Autodock 4.2
ZINC00403588_51,promutation,-6.44,-0.29,2019.04.22 23:18:46,Autodock 4.2
ZINC00621853_52,promutation,-6.12,-0.61,2019.04.22 23:18:51,Autodock 4.2
ZINC00899053_123,promutation,-7.62,-0.73,2019.04.22 23:18:57,Autodock 4.2
ZINC00899824_71,promutation,-6.54,-1.24,2019.04.22 23:19:04,Autodock 4.2
ZINC01529772_44,promutation,-7.98,-0.29,2019.04.22 23:19:11,Autodock 4.2
ZINC02566155,promutation,-7.2,-0.45,2019.04.22 23:19:20,Autodock 4.2
ZINC04349869_82,promutation,-5.81,0.6,2019.04.22 23:19:29,Autodock 4.2
ZINC04349874_83,promutation,-7.89,1.0,2019.04.22 23:19:35,Autodock 4.2
ZINC04349876_84,promutation,-7.65,0.81,2019.04.22 23:19:41,Autodock 4.2
ZINC04349879_85,promutation,-7.72,1.1,2019.04.22 23:19:49,Autodock 4.2
ZINC05765036,promutation,-6.3,0.02,2019.04.22 23:19:57,Autodock 4.2
ZINC05765036_65,promutation,-6.43,0.02,2019.04.22 23:20:04,Autodock 4.2
ZINC13424754_121,promutation,-5.43,-0.44,2019.04.22 23:20:11,Autodock 4.2
ZINC18286095_96,promutation,-6.87,-0.04,2019.04.22 23:20:16,Autodock 4.2
ZINC18286095_139,promutation,-6.27,-0.06,2019.04.22 23:20:41,Autodock 4.2
ZINC18825330_67,promutation,-7.42,-0.63,2019.04.22 23:20:47,Autodock 4.2
ZINC18847034_39,promutation,-7.22,-0.13,2019.04.22 23:20:53,Autodock 4.2
ZINC18847036_72,promutation,-7.37,-0.27,2019.04.22 23:20:59,Autodock 4.2
ZINC19535046_113,promutation,-7.39,-0.01,2019.04.22 23:21:06,Autodock 4.2
ZINC19535049_114,promutation,-7.08,-0.3,2019.04.22 23:21:12,Autodock 4.2
ZINC20297438_42,promutation,-6.65,-0.58,2019.04.22 23:21:17,Autodock 4.2
ZINC64220360_106,promutation,-7.11,-0.06,2019.04.22 23:21:22,Autodock 4.2
ZINC64220361_107,promutation,-6.42,-0.06,2019.04.22 23:21:29,Autodock 4.2
ZINC64220362_108,promutation,-7.18,-0.06,2019.04.22 23:21:35,Autodock 4.2
ZINC64220363_109,promutation,-6.33,-0.06,2019.04.22 23:21:42,Autodock 4.2
ZINC64220364_110,promutation,-7.31,-0.06,2019.04.22 23:21:47,Autodock 4.2
ZINC64220366_111,promutation,-7.09,-0.24,2019.04.22 23:21:53,Autodock 4.2
ZINC64220367_112,promutation,-5.89,-1.02,2019.04.22 23:22:03,Autodock 4.2
