Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00000566_1256,promutation,-7.57,-0.5,2019.04.25 14:46:48,Autodock 4.2
ZINC00001102_1223,promutation,-8.33,-0.32,2019.04.25 14:47:03,Autodock 4.2
ZINC00001219_1213,promutation,-7.53,0.05,2019.04.25 14:47:19,Autodock 4.2
ZINC00001411_144,promutation,-5.53,-0.28,2019.04.25 14:47:24,Autodock 4.2
ZINC00001411_818,promutation,-6.08,-0.08,2019.04.25 14:47:29,Autodock 4.2
ZINC00001412_1199,promutation,-6.66,-1.34,2019.04.25 14:47:32,Autodock 4.2
ZINC00001785_1172,promutation,-7.43,-0.26,2019.04.25 14:47:36,Autodock 4.2
ZINC00002067_1145,promutation,-6.91,-0.25,2019.04.25 14:47:40,Autodock 4.2
ZINC00003985_156,promutation,-6.53,0.21,2019.04.25 14:47:44,Autodock 4.2
ZINC00004935_1306,promutation,-7.46,-0.25,2019.04.25 14:47:49,Autodock 4.2
ZINC00006787_1287,promutation,-6.72,-0.23,2019.04.25 14:47:53,Autodock 4.2
ZINC00022501_1250,promutation,-6.07,-0.26,2019.04.25 14:47:57,Autodock 4.2
ZINC00032351_1105,promutation,-4.77,-0.01,2019.04.25 14:48:01,Autodock 4.2
ZINC00039092_944,promutation,-7.85,-0.76,2019.04.25 14:48:15,Autodock 4.2
ZINC00056481_1396,promutation,-5.7,0.06,2019.04.25 14:48:19,Autodock 4.2
ZINC00056555_858,promutation,-5.73,-0.64,2019.04.25 14:48:23,Autodock 4.2
ZINC00057674_825,promutation,-6.76,-0.25,2019.04.25 14:48:32,Autodock 4.2
ZINC00057731_821,promutation,-6.89,-0.03,2019.04.25 14:48:41,Autodock 4.2
ZINC00057733_820,promutation,-6.97,-0.39,2019.04.25 14:48:45,Autodock 4.2
ZINC00057919_815,promutation,-7.21,-0.24,2019.04.25 14:48:50,Autodock 4.2
ZINC00058120_1332,promutation,-7.09,-0.45,2019.04.25 14:48:58,Autodock 4.2
ZINC00058176_91,promutation,-6.33,0.02,2019.04.25 14:49:02,Autodock 4.2
ZINC00058258_807,promutation,-7.31,-0.35,2019.04.25 14:49:08,Autodock 4.2
ZINC00073693_758,promutation,-7.47,-0.24,2019.04.25 14:49:13,Autodock 4.2
ZINC00073700_1124,promutation,-7.22,0.0,2019.04.25 14:49:17,Autodock 4.2
ZINC00120273_1146,promutation,-6.85,-1.19,2019.04.25 14:49:22,Autodock 4.2
ZINC00120283_1144,promutation,-7.58,0.0,2019.04.25 14:49:27,Autodock 4.2
ZINC00153731_161,promutation,-7.19,0.04,2019.04.25 14:49:32,Autodock 4.2
ZINC00164394_1115,promutation,-6.26,-0.23,2019.04.25 14:49:36,Autodock 4.2
ZINC00404784_340,promutation,-6.62,-0.25,2019.04.25 14:49:42,Autodock 4.2
