Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00002050_247,promutation,-5.79,-0.13,2019.04.25 15:17:37,Autodock 4.2
ZINC00035525_243,promutation,-6.43,-0.29,2019.04.25 15:17:43,Autodock 4.2
ZINC00039811_32,promutation,-7.04,-0.06,2019.04.25 15:17:49,Autodock 4.2
ZINC00057658_165,promutation,-7.12,-0.18,2019.04.25 15:17:53,Autodock 4.2
ZINC00057670_164,promutation,-6.8,-0.32,2019.04.25 15:17:57,Autodock 4.2
ZINC00057733_162,promutation,-6.9,-0.33,2019.04.25 15:18:02,Autodock 4.2
ZINC00057905_9,promutation,-6.95,-0.49,2019.04.25 15:18:06,Autodock 4.2
ZINC00058258_158,promutation,-7.43,-0.48,2019.04.25 15:18:13,Autodock 4.2
ZINC00073032_166,promutation,-6.28,-0.55,2019.04.25 15:18:17,Autodock 4.2
ZINC00073693_154,promutation,-7.44,-0.24,2019.04.25 15:18:23,Autodock 4.2
ZINC00152561_197,promutation,-6.31,-0.55,2019.04.25 15:18:28,Autodock 4.2
ZINC00153654_145,promutation,-7.19,-0.66,2019.04.25 15:18:33,Autodock 4.2
ZINC00153660_155,promutation,-5.36,-0.6,2019.04.25 15:18:37,Autodock 4.2
ZINC00164777_234,promutation,-6.15,-0.0,2019.04.25 15:18:42,Autodock 4.2
ZINC00165469_40,promutation,-5.57,-0.51,2019.04.25 15:18:46,Autodock 4.2
ZINC00169889_52,promutation,-5.73,0.17,2019.04.25 15:21:20,Autodock 4.2
ZINC00174016_120,promutation,-6.4,-0.26,2019.04.25 15:21:26,Autodock 4.2
ZINC00338275_45,promutation,-6.49,-0.36,2019.04.25 15:21:30,Autodock 4.2
ZINC00338284_46,promutation,-7.55,-0.87,2019.04.25 15:21:33,Autodock 4.2
ZINC00388674_26,promutation,-5.02,-0.38,2019.04.25 15:21:37,Autodock 4.2
ZINC00622123_385,promutation,-7.54,-0.4,2019.04.25 15:21:45,Autodock 4.2
ZINC00899053_269,promutation,-7.74,-0.73,2019.04.25 15:22:06,Autodock 4.2
ZINC00900182_127,promutation,-6.51,-0.05,2019.04.25 15:22:11,Autodock 4.2
ZINC00900216_13,promutation,-5.9,-0.15,2019.04.25 15:22:15,Autodock 4.2
ZINC00900237_130,promutation,-7.08,-0.03,2019.04.25 15:22:19,Autodock 4.2
ZINC01529772_72,promutation,-8.03,-0.35,2019.04.25 15:22:23,Autodock 4.2
ZINC01531693_65,promutation,-7.76,-0.33,2019.04.25 15:22:27,Autodock 4.2
ZINC01561070_137,promutation,-7.58,-0.8,2019.04.25 15:22:31,Autodock 4.2
ZINC01564491_278,promutation,-6.47,-0.18,2019.04.25 15:22:35,Autodock 4.2
ZINC01579947_207,promutation,-5.82,-0.07,2019.04.25 15:22:39,Autodock 4.2
ZINC01580869_175,promutation,-6.83,-0.33,2019.04.25 15:22:43,Autodock 4.2
ZINC01587220_203,promutation,-7.44,-0.6,2019.04.25 15:24:45,Autodock 4.2
ZINC01608655_161,promutation,-6.67,-0.11,2019.04.25 15:24:49,Autodock 4.2
ZINC01618817_24,promutation,-5.5,-0.26,2019.04.25 15:24:52,Autodock 4.2
ZINC01645304_534,promutation,-6.86,-0.44,2019.04.25 15:24:57,Autodock 4.2
