Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00001392_1281,promutation,-6.31,0.15,2019.04.25 16:14:31,Autodock 4.2
ZINC00001712_433,promutation,-6.06,-0.08,2019.04.25 16:14:38,Autodock 4.2
ZINC00001785_1178,promutation,-7.73,-0.81,2019.04.25 16:14:41,Autodock 4.2
ZINC00001904_1093,promutation,-7.54,-0.47,2019.04.25 16:14:47,Autodock 4.2
ZINC00001906_1086,promutation,-6.17,-0.01,2019.04.25 16:14:52,Autodock 4.2
ZINC00002067_1037,promutation,-6.67,-0.22,2019.04.25 16:14:56,Autodock 4.2
ZINC00035525_1008,promutation,-5.91,-0.33,2019.04.25 16:15:00,Autodock 4.2
ZINC00038028_265,promutation,-6.04,-0.03,2019.04.25 16:15:04,Autodock 4.2
ZINC00039119_660,promutation,-7.52,-0.44,2019.04.25 16:15:12,Autodock 4.2
ZINC00056555_604,promutation,-6.85,-0.92,2019.04.25 16:15:16,Autodock 4.2
ZINC00056654_603,promutation,-6.82,-0.29,2019.04.25 16:15:21,Autodock 4.2
ZINC00057733_579,promutation,-6.73,-0.39,2019.04.25 16:15:25,Autodock 4.2
ZINC00057892_578,promutation,-7.17,-0.16,2019.04.25 16:15:29,Autodock 4.2
ZINC00058039_67,promutation,-7.03,-0.26,2019.04.25 16:15:35,Autodock 4.2
ZINC00058111_571,promutation,-6.63,0.03,2019.04.25 16:15:40,Autodock 4.2
ZINC00058121_569,promutation,-6.73,0.03,2019.04.25 16:15:44,Autodock 4.2
ZINC00058154_61,promutation,-6.79,0.31,2019.04.25 16:15:48,Autodock 4.2
ZINC00073686_564,promutation,-6.07,-0.13,2019.04.25 16:15:52,Autodock 4.2
ZINC00073700_1016,promutation,-7.17,0.0,2019.04.25 16:15:56,Autodock 4.2
ZINC00080786_1336,promutation,-6.09,0.01,2019.04.25 16:16:00,Autodock 4.2
ZINC00105356_716,promutation,-6.14,-0.88,2019.04.25 16:16:04,Autodock 4.2
ZINC00117559_472,promutation,-6.42,0.02,2019.04.25 16:16:09,Autodock 4.2
ZINC00120283_1036,promutation,-7.5,0.0,2019.04.25 16:16:16,Autodock 4.2
ZINC00155939_743,promutation,-6.9,-0.77,2019.04.25 16:16:20,Autodock 4.2
ZINC00156701_1032,promutation,-7.63,-0.23,2019.04.25 16:16:24,Autodock 4.2
ZINC00157773,promutation,-6.11,0.01,2019.04.25 16:16:29,Autodock 4.2
ZINC00157773_440,promutation,-6.14,-0.02,2019.04.25 16:16:33,Autodock 4.2
ZINC00162391_22,promutation,-6.75,0.12,2019.04.25 16:16:38,Autodock 4.2
ZINC00199415_519,promutation,-6.46,-0.16,2019.04.25 16:16:43,Autodock 4.2
ZINC00265484_622,promutation,-6.62,-0.01,2019.04.25 16:16:49,Autodock 4.2
ZINC00265484_1489,promutation,-7.47,-0.02,2019.04.25 16:16:53,Autodock 4.2
ZINC00265509_271,promutation,-5.78,-0.32,2019.04.25 16:16:58,Autodock 4.2
ZINC00265510_272,promutation,-6.47,-0.43,2019.04.25 16:17:03,Autodock 4.2
ZINC00265517,promutation,-6.46,0.07,2019.04.25 16:17:07,Autodock 4.2
ZINC00289909_1342,promutation,-7.8,-0.47,2019.04.25 16:17:12,Autodock 4.2
ZINC00289910_1341,promutation,-7.9,0.1,2019.04.25 16:17:17,Autodock 4.2
ZINC00314951_473,promutation,-6.74,-0.21,2019.04.25 16:17:21,Autodock 4.2
ZINC00323340_1345,promutation,-7.37,-0.41,2019.04.25 16:17:25,Autodock 4.2
ZINC00323343_1343,promutation,-8.39,-0.2,2019.04.25 16:17:29,Autodock 4.2
ZINC00334890_5,promutation,-7.21,-0.12,2019.04.25 16:17:34,Autodock 4.2
ZINC00336322_1431,promutation,-6.2,-0.07,2019.04.25 16:17:39,Autodock 4.2
ZINC00338044_1087,promutation,-7.65,-0.65,2019.04.25 16:17:43,Autodock 4.2
ZINC00338046_1085,promutation,-7.47,-0.68,2019.04.25 16:17:47,Autodock 4.2
ZINC00338051_250,promutation,-8.05,-0.46,2019.04.25 16:17:51,Autodock 4.2
ZINC00338052_249,promutation,-7.88,-0.43,2019.04.25 16:17:57,Autodock 4.2
ZINC00338055_248,promutation,-8.53,-0.23,2019.04.25 16:18:01,Autodock 4.2
ZINC00338056_247,promutation,-7.86,-0.4,2019.04.25 16:18:06,Autodock 4.2
ZINC00338128_262,promutation,-6.86,-0.16,2019.04.25 16:18:10,Autodock 4.2
ZINC00338130_3,promutation,-7.98,-0.13,2019.04.25 16:18:14,Autodock 4.2
ZINC00338132_2,promutation,-7.19,-0.03,2019.04.25 16:18:19,Autodock 4.2
ZINC00338145_1,promutation,-7.97,-0.08,2019.04.25 16:18:23,Autodock 4.2
ZINC00338164_147,promutation,-6.43,-0.07,2019.04.25 16:18:27,Autodock 4.2
ZINC00338165_103,promutation,-6.65,0.0,2019.04.25 16:18:31,Autodock 4.2
ZINC00338166_560,promutation,-6.82,-0.2,2019.04.25 16:18:35,Autodock 4.2
ZINC00338169_1488,promutation,-6.96,-0.3,2019.04.25 16:18:50,Autodock 4.2
ZINC00338168_1021,promutation,-6.77,-0.43,2019.04.25 16:18:54,Autodock 4.2
ZINC00338208_1377,promutation,-6.56,0.13,2019.04.25 16:18:58,Autodock 4.2
ZINC00338209_1376,promutation,-6.2,-0.35,2019.04.25 16:19:02,Autodock 4.2
ZINC00338210_1375,promutation,-5.77,-0.12,2019.04.25 16:19:06,Autodock 4.2
ZINC00338212_1373,promutation,-6.3,0.01,2019.04.25 16:19:10,Autodock 4.2
ZINC00338213_114,promutation,-6.49,0.03,2019.04.25 16:19:14,Autodock 4.2
ZINC00338216_284,promutation,-7.95,-0.28,2019.04.25 16:19:18,Autodock 4.2
ZINC00338217_285,promutation,-7.02,-0.49,2019.04.25 16:19:22,Autodock 4.2
ZINC00338220_286,promutation,-7.29,-0.49,2019.04.25 16:19:27,Autodock 4.2
ZINC00338223,promutation,-7.3,-0.83,2019.04.25 16:19:30,Autodock 4.2
ZINC00338223_119,promutation,-8.64,-0.44,2019.04.25 16:19:34,Autodock 4.2
