Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC95913654_6171,promutation,-6.52,-0.41,2019.04.26 14:29:39,Autodock 4.2
ZINC95913620_5976,promutation,-7.14,-0.65,2019.04.26 14:29:50,Autodock 4.2
ZINC95913564_5619,promutation,-6.11,-0.88,2019.04.26 14:29:59,Autodock 4.2
ZINC95913563_5613,promutation,-6.29,-0.5,2019.04.26 14:30:05,Autodock 4.2
ZINC95913554_5546,promutation,-7.45,-0.73,2019.04.26 14:30:08,Autodock 4.2
ZINC95913552_5529,promutation,-5.48,-0.45,2019.04.26 14:30:11,Autodock 4.2
ZINC95913551_5525,promutation,-5.35,-0.34,2019.04.26 14:30:15,Autodock 4.2
ZINC95913550_5510,promutation,-7.77,-0.41,2019.04.26 14:30:19,Autodock 4.2
ZINC95913535_5406,promutation,-7.28,-0.34,2019.04.26 14:30:23,Autodock 4.2
ZINC95913534_5402,promutation,-7.65,0.13,2019.04.26 14:30:27,Autodock 4.2
ZINC95913530_5381,promutation,-7.25,-0.72,2019.04.26 14:30:31,Autodock 4.2
ZINC95913529_5375,promutation,-6.79,-0.43,2019.04.26 14:30:35,Autodock 4.2
ZINC95913528_5371,promutation,-6.49,-0.1,2019.04.26 14:30:49,Autodock 4.2
ZINC95913526_5358,promutation,-7.9,-0.91,2019.04.26 14:30:53,Autodock 4.2
ZINC95913476_5028,promutation,-6.91,-0.24,2019.04.26 14:30:58,Autodock 4.2
ZINC95913419_4659,promutation,-6.42,-0.24,2019.04.26 14:31:02,Autodock 4.2
ZINC95913418_4650,promutation,-6.92,-0.25,2019.04.26 14:31:06,Autodock 4.2
ZINC90712886_3126,promutation,-7.49,-0.36,2019.04.26 14:31:10,Autodock 4.2
ZINC85744287_4432,promutation,-6.37,-0.61,2019.04.26 14:31:15,Autodock 4.2
ZINC86035379_3103,promutation,-7.19,-0.08,2019.04.26 14:31:19,Autodock 4.2
ZINC85530892_5346,promutation,-4.54,-1.16,2019.04.26 14:31:26,Autodock 4.2
ZINC85530876_5229,promutation,-8.23,0.0,2019.04.26 14:31:30,Autodock 4.2
ZINC85504873_4055,promutation,-8.77,-0.53,2019.04.26 14:31:33,Autodock 4.2
ZINC85504826_3883,promutation,-6.93,-0.5,2019.04.26 14:31:38,Autodock 4.2
ZINC85493323_6073,promutation,-7.9,-0.18,2019.04.26 14:31:42,Autodock 4.2
ZINC85493077_5006,promutation,-7.8,0.0,2019.04.26 14:31:46,Autodock 4.2
ZINC70454603_5911,promutation,-6.99,-0.07,2019.04.26 14:31:50,Autodock 4.2
ZINC70454589_5841,promutation,-7.5,-0.36,2019.04.26 14:31:54,Autodock 4.2
ZINC70454549_5600,promutation,-7.91,0.0,2019.04.26 14:31:59,Autodock 4.2
ZINC70454517_5351,promutation,-6.1,-0.77,2019.04.26 14:32:03,Autodock 4.2
ZINC70454503_5280,promutation,-7.68,-0.27,2019.04.26 14:32:07,Autodock 4.2
ZINC70454460_5022,promutation,-7.79,-0.08,2019.04.26 14:32:16,Autodock 4.2
ZINC70454440_4847,promutation,-6.12,-1.62,2019.04.26 14:32:20,Autodock 4.2
ZINC70454400_4621,promutation,-7.15,-0.77,2019.04.26 14:32:27,Autodock 4.2
ZINC70454311_4141,promutation,-7.72,-1.16,2019.04.26 14:32:31,Autodock 4.2
ZINC70454293_4041,promutation,-7.46,-1.26,2019.04.26 14:32:36,Autodock 4.2
ZINC70454271_3953,promutation,-7.38,-0.04,2019.04.26 14:32:41,Autodock 4.2
ZINC70454266_3930,promutation,-6.1,-0.25,2019.04.26 14:32:46,Autodock 4.2
ZINC70454212_3629,promutation,-7.61,0.01,2019.04.26 14:32:50,Autodock 4.2
ZINC70454140_3256,promutation,-7.02,0.0,2019.04.26 14:32:54,Autodock 4.2
ZINC59587026_6032,promutation,-7.3,-0.13,2019.04.26 14:32:58,Autodock 4.2
ZINC59587014_5945,promutation,-5.48,-0.28,2019.04.26 14:33:03,Autodock 4.2
ZINC59586909_5050,promutation,-6.68,-0.73,2019.04.26 15:00:31,Autodock 4.2
