Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC00000733_124_uff_E=110.27,promutation,-5.94,-0.45,2019.04.23 22:30:59,Autodock 4.2
ZINC00001785_102_uff_E=209.95,promutation,-7.62,-0.35,2019.04.23 22:31:08,Autodock 4.2
ZINC00033299_5273,promutation,-7.4,0.0,2019.04.23 22:31:13,Autodock 4.2
ZINC00035525_5949,promutation,-6.32,0.12,2019.04.23 22:31:33,Autodock 4.2
ZINC00035529_5871,promutation,-6.88,-0.56,2019.04.23 22:31:56,Autodock 4.2
ZINC00035533_5791,promutation,-6.13,-0.46,2019.04.23 22:32:00,Autodock 4.2
ZINC00056550_74_uff_E=142.82,promutation,-6.08,-0.28,2019.04.23 22:32:04,Autodock 4.2
ZINC00056550_3140,promutation,-5.44,-0.4,2019.04.23 22:32:09,Autodock 4.2
ZINC00056981_60_uff_E=356.60,promutation,-6.86,-0.41,2019.04.23 22:32:16,Autodock 4.2
ZINC00058185_57_uff_E=353.38,promutation,-7.83,-0.68,2019.04.23 22:32:22,Autodock 4.2
ZINC00058188_uff_E=477.93,promutation,-7.28,-0.64,2019.04.23 22:32:36,Autodock 4.2
ZINC00085342_4840,promutation,-6.91,-0.19,2019.04.23 22:32:41,Autodock 4.2
ZINC00087933_4536,promutation,-6.28,-0.15,2019.04.23 22:32:47,Autodock 4.2
ZINC00098166_4557,promutation,-6.68,0.01,2019.04.23 22:32:51,Autodock 4.2
ZINC00136152_5867,promutation,-7.15,-0.13,2019.04.23 22:32:56,Autodock 4.2
ZINC00151915_3391,promutation,-7.08,-0.12,2019.04.23 22:33:04,Autodock 4.2
ZINC00156701_101_uff_E=213.39,promutation,-7.7,-0.2,2019.04.23 22:33:09,Autodock 4.2
ZINC00156904_6026,promutation,-6.69,-0.6,2019.04.23 22:33:14,Autodock 4.2
ZINC00157067_3104,promutation,-6.38,-0.04,2019.04.23 22:33:21,Autodock 4.2
ZINC00157414_6043,promutation,-5.95,-0.19,2019.04.23 22:33:28,Autodock 4.2
ZINC00164563_5279,promutation,-5.28,-0.31,2019.04.23 22:33:35,Autodock 4.2
ZINC00164777_4325,promutation,-6.01,-0.14,2019.04.23 22:33:40,Autodock 4.2
ZINC00226366_3780,promutation,-6.29,0.0,2019.04.23 22:33:49,Autodock 4.2
ZINC00265484_3485,promutation,-6.44,-0.0,2019.04.23 22:33:54,Autodock 4.2
ZINC00265504_4480,promutation,-8.4,0.0,2019.04.23 22:34:04,Autodock 4.2
ZINC00332748_4729,promutation,-6.45,-0.06,2019.04.23 22:34:14,Autodock 4.2
ZINC00388293_4343,promutation,-5.32,-0.18,2019.04.23 22:36:31,Autodock 4.2
ZINC00388428_4018,promutation,-6.03,0.1,2019.04.23 22:36:40,Autodock 4.2
ZINC00388545_3744,promutation,-5.9,0.21,2019.04.23 22:36:46,Autodock 4.2
